,age,Gender,Educational Qualification ,income,Family type, Location,reside,Occupation,dependent,marital_status,Mother tongue,read_eWOMS, Save time,Detailed product information,Visual demonstrations in video reviews,Trust in reputable reviewers,Recommendations from like-minded individuals,Engaging with a community of reviewers,Availability of a wide range of information,Reviews are transparent and authentic,Assurance of customer satisfaction,Confirmation of product suitability for specific needs,Confidence in my knowledge about the product ,Lack of interest in others opinion,Confidence in my own decision making abilities,Prefer seek advice from experts,Review creates confusion,Difference in eWOM and product quality
0,22,Female,Post Graduation,0-20000,Nuclear,Rural,Slum,Service,3,Single,Marathi,yes,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree
1,22,Male,Post Graduation,0-20000,Joint,Rural,Bulding,Service,1,Single,Marathi,no,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
2,22,Male,SSC,20000-80000,Joint,Urban,Bulding,Service,3,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree
3,21,Female,SSC,0-20000,Joint,Rural,Bulding,Service,2,Single,Hindi,yes,Strongly agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Neutral
4,20,Female,Graduation,0-20000,Joint,Urban,Tower,Service,0,Single,Marathi,yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5,22,Male,HSC,80000 and above,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
6,22,Female,Graduation,20000-80000,Joint,Rural,Slum,Service,3,Single,Marathi,yes,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree
7,22,Female,SSC,80000 and above,Joint,Rural,Slum,Service,0,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
8,22,Male,HSC,80000 and above,Nuclear,Rural,Slum,Service,3,Single,Marathi,yes,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree
9,23,Female,Post Graduation,20000-80000,Joint,Rural,Bulding,Other,1,Single,Hindi,yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
10,50,Female,SSC,0-20000,Nuclear,Rural,Slum,Business,2,Married,Marathi,no,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree
